Date,EURCZK,USDCZK,GBPCZK
2015-01,27.88,24.24,36.66
2015-02,27.58,24.28,37.18
2015-03,27.35,25.23,37.82
2015-04,27.42,25.40,37.93
2015-05,27.39,24.54,37.94
2015-06,27.30,24.35,37.88
2015-07,27.08,24.63,38.32
2015-08,27.02,24.28,37.85
2015-09,27.08,24.11,36.98
2015-10,27.09,24.13,36.97
2015-11,27.02,25.15,38.25
2015-12,27.01,24.83,37.21
2016-01,27.02,24.87,35.85
2016-02,27.02,24.36,34.85
2016-03,27.04,24.33,34.59
2016-04,27.02,23.83,34.07
2016-05,27.02,23.89,34.69
2016-06,27.05,24.06,34.25
2016-07,27.03,24.44,32.13
2016-08,27.02,24.11,31.59
2016-09,27.02,24.09,31.69
2016-10,27.02,24.48,30.25
2016-11,27.02,25.02,31.08
2016-12,27.02,25.63,31.96
2017-01,27.01,25.43,31.36
2017-02,27.01,25.36,31.68
2017-03,27.02,25.29,31.19
2017-04,26.81,25.03,31.58
2017-05,26.58,24.08,31.11
2017-06,26.25,23.38,29.92
2017-07,26.07,22.63,29.42
2017-08,26.10,22.09,28.64
2017-09,26.07,21.88,29.09
2017-10,25.77,21.92,28.93
2017-11,25.53,21.76,28.77
2017-12,25.63,21.66,29.03
2018-01,25.43,20.89,28.79
2018-02,25.31,20.48,28.64
2018-03,25.41,20.60,28.77
2018-04,25.35,20.63,29.05
2018-05,25.62,21.65,29.19
2018-06,25.77,22.07,29.33
2018-07,25.84,22.11,29.12
2018-08,25.67,22.23,28.63
2018-09,25.60,21.95,28.65
2018-10,25.81,22.45,29.23
2018-11,25.92,22.80,29.42
2018-12,25.83,22.70,28.75
2019-01,25.62,22.43,28.91
2019-02,25.71,22.64,29.45
2019-03,25.65,22.67,29.91
2019-04,25.67,22.84,29.76
2019-05,25.74,23.00,29.59
2019-06,25.59,22.66,28.73
2019-07,25.53,22.73,28.39
2019-08,25.79,23.17,28.16
2019-09,25.85,23.46,28.98
2019-10,25.68,23.24,29.34
2019-11,25.52,23.08,29.74
2019-12,25.48,22.93,30.03
2020-01,25.21,22.68,29.69
2020-02,25.05,22.95,29.78
2020-03,26.51,23.97,29.61
2020-04,27.23,25.05,31.06
2020-05,27.27,25.02,30.78
2020-06,26.66,23.68,29.67
2020-07,26.50,23.14,29.29
2020-08,26.15,22.10,29.03
2020-09,26.69,22.63,29.36
2020-10,27.18,23.09,29.97
2020-11,26.48,22.39,29.56
2020-12,26.28,21.60,29.03
2021-01,26.14,21.46,29.27
2021-02,25.85,21.36,29.61
2021-03,26.17,21.96,30.45
2021-04,25.93,21.68,30.01
2021-05,25.54,21.03,29.60
2021-06,25.43,21.09,29.60
2021-07,25.56,21.64,29.78
2021-08,25.38,21.60,29.70
2021-09,25.31,21.52,29.47
2021-10,25.41,21.93,29.90
2021-11,25.31,22.20,29.80
2021-12,25.16,22.28,29.58
2022-01,24.40,21.57,29.16
2022-02,24.34,21.49,28.99
2022-03,24.88,22.63,29.74
2022-04,24.37,22.52,29.10
2022-05,24.71,23.38,29.01
2022-06,24.67,23.33,28.72
2022-07,24.57,24.10,28.85
2022-08,24.54,24.23,28.99
2022-09,24.55,24.77,28.02
2022-10,24.50,24.91,28.06
2022-11,24.34,23.90,27.95
2022-12,24.23,22.91,27.82
2023-01,23.92,22.21,27.10
2023-02,23.70,22.11,26.68
2023-03,23.65,22.09,26.74
2023-04,23.40,21.36,26.51
2023-05,23.57,21.66,26.98
2023-06,23.68,21.84,27.52
2023-07,23.87,21.58,27.73
2023-08,24.09,22.07,27.99
2023-09,24.35,22.78,28.25
2023-10,24.56,23.24,28.30
2023-11,24.45,22.63,28.08
2023-12,24.44,22.39,28.34
2024-01,24.68,22.61,28.72
2024-02,25.20,23.34,29.49
2024-03,25.28,23.24,29.55
2024-04,25.27,23.54,29.49
2024-05,24.82,22.97,29.01
2024-06,24.75,22.98,29.23
2024-07,25.26,23.30,29.95
2024-08,25.16,22.84,29.54
2024-09,25.07,22.58,29.83
2024-10,25.28,23.17,30.28
2024-11,25.29,23.77,30.32
2024-12,25.10,23.97,30.29
2025-01,25.14,24.38,30.21
